task_seq,task_id,concurrent_count
583,7772,17
584,7780,18
585,7791,17
586,7821,15
587,7829,15
588,7840,15
589,7862,16
590,7870,16
591,7900,15
592,7908,15
593,7919,15
594,7941,14
595,7984,12
596,8003,12
597,8022,12
598,8041,11
599,8049,11
600,8060,11
601,8071,12
602,8101,11
603,8109,11
604,8131,11
605,8139,12
606,8150,13
607,8161,14
608,8172,15
609,8191,15
610,8202,15
611,8213,16
612,8224,16
613,8262,14
614,8270,14
615,8332,11
616,8340,11
617,8351,11
618,8362,12
619,8373,12
620,8395,11
621,8430,10
622,8457,10
623,8465,10
624,8484,11
625,8495,12
626,8557,8
627,8584,8
628,8603,9
629,8622,9
630,8641,9
631,8649,10
632,8660,10
633,8671,10
634,8682,11
635,8690,11
636,8723,12
637,8750,12
638,8758,13
639,8769,14
640,8780,14
641,8791,15
642,8813,15
643,8840,14
644,8848,14
645,8870,14
646,8878,13
647,8900,13
648,8908,14
649,8919,14
650,8930,15
651,8940,16
652,8970,14
653,9005,12
654,9013,13
655,9024,14
656,9054,13
657,9062,13
658,9073,13
659,9084,14
660,9095,14
661,9114,13
662,9136,12
663,9144,13
664,9166,13
665,9174,14
666,9196,15
667,9215,14
668,9242,14
669,9261,13
670,9269,13
671,9280,13
672,9318,12
673,9326,12
674,9337,12
675,9348,13
676,9359,13
677,9367,13
678,9408,12
679,9435,12
680,9470,10
681,9478,11
682,9489,12
683,9508,12
684,9519,12
685,9538,12
686,9549,11
687,9560,11
688,9582,12
689,9590,13
690,9628,12
691,9647,13
692,9655,14
693,9685,13
694,9693,13
695,9723,12
696,9731,12
697,9742,12
698,9764,12
699,9772,12
700,9791,12
701,9802,13
702,9813,14
703,9824,14
704,9832,15
705,9846,15
706,9854,15
707,9887,15
708,9914,15
709,9922,15
710,9933,15
711,9944,15
712,9952,15
713,10001,13
714,10028,12
715,10036,11
716,10058,11
717,10085,11
718,10112,10
719,10131,10
720,10150,10
721,10158,10
722,10169,11
723,10177,12
724,10191,12
725,10202,13
726,10232,12
727,10240,13
728,10251,13
729,10281,13
730,10289,14
731,10311,14
732,10330,14
733,10338,15
734,10349,15
735,10360,16
736,10382,14
737,10409,13
738,10428,13
739,10436,13
740,10466,13
741,10493,12
742,10501,12
743,10579,8
744,10598,8
745,10625,7
746,10644,7
747,10652,8
748,10663,9
749,10674,9
750,10685,9
751,10707,10
752,10715,11
753,10726,12
754,10737,13
755,10745,14
756,10778,14
757,10805,14
758,10813,15
759,10832,15
760,10843,15
761,10854,15
762,10900,12
763,10919,12
764,10927,11
765,10949,11
766,10984,11
767,11003,11
768,11011,11
769,11033,10
770,11041,10
771,11052,11
772,11074,12
773,11133,9
774,11152,10
775,11160,11
776,11171,11
777,11182,12
778,11193,12
779,11223,11
780,11231,11
781,11242,11
782,11253,12
783,11264,12
784,11302,13
785,11321,14
786,11340,14
787,11348,14
788,11402,11
789,11410,11
790,11432,10
791,11440,10
792,11459,10
793,11470,11
794,11508,10
795,11527,10
796,11554,10
797,11562,11
798,11573,12
799,11603,11
800,11638,10
801,11646,10
802,11657,10
803,11676,11
804,11706,11
805,11733,11
806,11741,11
807,11760,11
808,11782,11
809,11801,11
810,11809,12
811,11831,12
812,11839,12
813,11858,12
814,11869,12
815,11880,13
816,11891,14
817,11902,14
818,11913,15
819,11924,16
820,11954,15
821,11962,15
822,11984,15
823,12003,15
824,12011,15
825,12030,15
826,12052,15
827,12071,14
828,12090,13
829,12109,13
830,12117,12
831,12128,13
832,12139,14
833,12169,13
834,12185,13
835,12231,11
836,12250,11
837,12269,11
838,12288,11
839,12307,10
840,12315,10
841,12337,10
842,12345,11
843,12356,12
844,12367,12
845,12389,12
846,12397,13
847,12416,14
848,12446,13
849,12454,14
850,12465,14
851,12487,14
852,12506,14
853,12514,14
854,12525,15
